City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain (in),Snow (in)
0,Avarua,CK,2020-06-16 13:10:05,-21.21,-159.78,71.6,68,8,6.93,clear sky,0.0,0.0
1,Esperance,AU,2020-06-16 13:12:13,-33.87,121.9,57.2,62,33,10.29,scattered clouds,0.0,0.0
2,Luganville,VU,2020-06-16 13:12:13,-15.53,167.17,78.8,83,20,11.41,few clouds,0.0,0.0
3,Rikitea,PF,2020-06-16 13:12:14,-23.12,-134.97,75.07,81,55,10.42,broken clouds,0.0,0.0
4,Half Moon Bay,US,2020-06-16 13:12:14,37.46,-122.43,55.99,87,1,18.34,mist,0.0,0.0
5,Mahebourg,MU,2020-06-16 13:12:14,-20.41,57.7,73.4,69,40,9.17,scattered clouds,0.0,0.0
6,Vardo,NO,2020-06-16 13:12:14,70.37,31.11,50.0,57,40,16.11,scattered clouds,0.0,0.0
7,Goderich,CA,2020-06-16 13:12:14,43.75,-81.72,57.99,78,0,1.01,clear sky,0.0,0.0
8,San Andres,CO,2020-06-16 13:14:24,12.58,-81.7,84.2,83,75,10.29,broken clouds,0.0,0.0
9,Castro,BR,2020-06-16 13:09:17,-24.79,-50.01,58.69,88,94,8.03,overcast clouds,0.0,0.0
10,Comodoro Rivadavia,AR,2020-06-16 13:07:55,-45.87,-67.5,42.8,81,44,1.12,scattered clouds,0.0,0.0
11,Mataura,NZ,2020-06-16 13:09:59,-46.19,168.86,47.3,84,70,4.7,broken clouds,0.0,0.0
12,Khovu-Aksy,RU,2020-06-16 13:12:15,51.13,93.6,60.17,58,2,5.91,clear sky,0.0,0.0
13,Monrovia,LR,2020-06-16 13:09:28,6.3,-10.8,86.0,79,75,8.05,broken clouds,0.0,0.0
14,Ushuaia,AR,2020-06-16 13:09:20,-54.8,-68.3,37.4,86,75,5.82,shower rain,0.0,0.0
15,Nelson Bay,AU,2020-06-16 13:14:25,-32.72,152.15,51.8,81,0,9.17,clear sky,0.0,0.0
16,Melfi,IT,2020-06-16 13:14:25,41.0,15.65,73.4,100,40,10.29,light rain,0.0,0.0
17,Port Elizabeth,ZA,2020-06-16 13:14:25,-33.92,25.57,64.4,68,20,11.41,few clouds,0.0,0.0
18,Punta Arenas,CL,2020-06-16 13:14:25,-53.15,-70.92,33.01,100,20,5.82,few clouds,0.0,0.0
19,Hilo,US,2020-06-16 13:05:20,19.73,-155.09,73.4,78,90,3.36,moderate rain,0.0,0.0
20,Cape Town,ZA,2020-06-16 13:02:15,-33.93,18.42,71.6,35,0,3.36,clear sky,0.0,0.0
21,Constitucion,CL,2020-06-16 13:09:46,-35.33,-72.42,55.29,92,100,15.95,light rain,0.35,0.0
22,Souillac,MU,2020-06-16 13:09:23,-20.52,57.52,75.2,64,40,9.17,scattered clouds,0.0,0.0
23,Santa Maria,BR,2020-06-16 13:09:47,-29.68,-53.81,66.16,84,51,5.84,broken clouds,0.0,0.0
24,Saldanha,ZA,2020-06-16 13:05:12,-33.01,17.94,71.6,46,0,3.36,clear sky,0.0,0.0
25,Tamarindo,CU,2020-06-16 13:09:47,22.12,-78.91,78.98,79,100,3.22,overcast clouds,0.0,0.0
26,Padang,ID,2020-06-16 13:09:47,-0.95,100.35,81.3,78,100,4.76,light rain,0.19,0.0
27,Jibuti,DJ,2020-06-16 13:09:47,11.5,42.5,104.43,12,0,3.36,clear sky,0.0,0.0
28,Thompson,CA,2020-06-16 13:05:12,55.74,-97.86,59.0,67,20,8.05,few clouds,0.0,0.0
29,Pombas,CV,2020-06-16 13:09:48,17.15,-25.02,89.6,46,0,8.05,clear sky,0.0,0.0
