City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (in),Snow (in)
0,Bluff,NZ,2020-06-16 13:26:24,-46.6,168.33,54.39,75,63,15.05,broken clouds,0.0,0
1,Dovers,VC,2020-06-16 13:34:59,12.88,-61.18,84.2,70,75,11.41,broken clouds,0.0,0
2,Copiapo,CL,2020-06-16 13:34:59,-27.37,-70.33,55.4,76,90,6.93,overcast clouds,0.0,0
3,Malanje,AO,2020-06-16 13:26:41,-9.54,16.34,78.8,54,40,12.75,scattered clouds,0.0,0
4,Airai,TL,2020-06-16 13:26:29,-8.93,125.41,57.97,100,27,4.47,scattered clouds,0.0,0
5,Barrow,US,2020-06-16 13:35:00,71.29,-156.79,35.6,80,1,13.87,clear sky,0.0,0
6,Hailin,CN,2020-06-16 13:35:00,44.58,129.42,61.43,70,1,5.06,clear sky,0.0,0
7,Xichang,CN,2020-06-16 13:35:00,27.9,102.26,72.68,73,100,4.14,light rain,0.32,0
8,Cape Town,ZA,2020-06-16 13:34:54,-33.93,18.42,71.6,33,0,5.82,clear sky,0.0,0
9,Carnarvon,AU,2020-06-16 13:35:01,-24.87,113.63,64.4,34,0,10.29,clear sky,0.0,0
10,Tura,IN,2020-06-16 13:35:01,25.52,90.22,76.84,95,100,5.91,light rain,0.46,0
11,Rikitea,PF,2020-06-16 13:35:01,-23.12,-134.97,74.98,81,4,10.83,clear sky,0.0,0
12,Kalaiya,NP,2020-06-16 13:35:01,27.03,85.0,83.86,66,95,6.62,light rain,0.17,0
13,Cururupu,BR,2020-06-16 13:35:01,-1.83,-44.87,82.99,77,11,6.49,light rain,0.59,0
14,Atuona,PF,2020-06-16 13:35:01,-9.8,-139.03,80.17,75,1,12.59,light rain,0.15,0
15,Ancud,CL,2020-06-16 13:35:02,-41.87,-73.82,50.0,100,90,8.05,overcast clouds,0.0,0
16,Grindavik,IS,2020-06-16 13:35:02,63.84,-22.43,48.2,76,75,17.22,broken clouds,0.0,0
17,Hobart,AU,2020-06-16 13:30:23,-42.88,147.33,42.8,70,75,19.46,light intensity shower rain,1.52,0
18,Armidale,AU,2020-06-16 13:35:02,-30.52,151.65,37.53,91,0,0.98,clear sky,0.0,0
19,Port Alfred,ZA,2020-06-16 13:35:02,-33.59,26.89,64.0,80,40,4.0,scattered clouds,0.0,0
20,Punta Arenas,CL,2020-06-16 13:35:02,-53.15,-70.92,33.8,86,20,9.17,few clouds,0.0,0
21,Makakilo City,US,2020-06-16 13:27:05,21.35,-158.09,75.2,83,40,4.7,scattered clouds,0.0,0
22,Faanui,PF,2020-06-16 13:26:12,-16.48,-151.75,79.54,82,34,11.77,light rain,0.67,0
23,Sao Filipe,CV,2020-06-16 13:26:17,14.9,-24.5,78.15,78,1,6.67,clear sky,0.0,0
24,Paamiut,GL,2020-06-16 13:27:27,61.99,-49.67,36.99,80,87,6.91,overcast clouds,0.0,0
