City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2020-06-15 13:47:32,72.79,-56.15,34.29,89,100,4.85
1,Cape Town,ZA,2020-06-15 13:42:19,-33.93,18.42,63.0,63,20,13.87
2,Ushuaia,AR,2020-06-15 13:55:30,-54.8,-68.3,39.2,88,75,4.7
3,Mataura,NZ,2020-06-15 13:55:30,-46.19,168.86,43.38,91,0,3.51
4,Belmonte,BR,2020-06-15 13:55:31,-15.86,-38.88,75.2,78,75,8.05
5,Vaini,TO,2020-06-15 13:55:31,-21.2,-175.2,69.8,77,40,16.11
6,Port Macquarie,AU,2020-06-15 13:55:31,-31.43,152.92,48.2,93,0,2.24
7,Airai,TL,2020-06-15 13:47:08,-8.93,125.41,59.27,100,23,4.34
8,Hobart,AU,2020-06-15 13:54:06,-42.88,147.33,55.99,54,40,12.75
9,Vila Franca Do Campo,PT,2020-06-15 13:55:31,37.72,-25.43,64.4,72,40,9.17
10,Inhambane,MZ,2020-06-15 13:55:31,-23.86,35.38,71.6,64,75,5.82
11,Liverpool,GB,2020-06-15 13:55:32,53.41,-2.98,72.0,64,40,5.82
12,Coruripe,BR,2020-06-15 13:53:38,-10.13,-36.18,76.48,89,97,13.6
13,Moindou,NC,2020-06-15 13:55:32,-21.69,165.68,68.0,77,40,4.7
14,Alice Springs,AU,2020-06-15 13:52:30,-23.7,133.88,52.0,46,95,8.25
15,Butaritari,KI,2020-06-15 13:55:32,3.07,172.79,83.61,71,40,7.85
16,Rolla,US,2020-06-15 13:55:08,37.95,-91.77,71.01,73,40,9.17
17,Inza,RU,2020-06-15 13:55:32,53.85,46.36,68.27,60,78,4.74
18,Busselton,AU,2020-06-15 13:55:32,-33.65,115.33,57.0,73,100,5.5
19,Bengkulu,ID,2020-06-15 13:47:16,-3.8,102.27,80.15,80,88,5.82
20,Tuktoyaktuk,CA,2020-06-15 13:55:33,69.45,-133.04,53.6,58,20,9.17
21,Punta Arenas,CL,2020-06-15 13:44:35,-53.15,-70.92,33.8,82,75,5.82
22,Grand Island,US,2020-06-15 13:55:02,40.92,-98.34,80.01,41,1,13.87
23,Chapada Dos Guimaraes,BR,2020-06-15 13:55:33,-15.46,-55.75,69.8,88,90,4.7
24,Saint-Doulchard,FR,2020-06-15 13:55:33,47.1,2.35,70.0,49,75,8.05
25,Chuy,UY,2020-06-15 13:47:38,-33.7,-53.46,54.66,67,99,7.4
26,Clermont,FR,2020-06-15 13:51:25,49.5,2.42,73.99,53,75,10.29
27,Lompoc,US,2020-06-15 13:47:17,34.64,-120.46,52.0,100,0,4.88
28,Ribeira Grande,PT,2020-06-15 13:55:34,38.52,-28.7,68.0,64,40,12.75
29,La Paz,BO,2020-06-15 13:54:36,-16.5,-68.15,41.0,80,40,8.05
30,Lagoa,PT,2020-06-15 13:47:44,39.05,-27.98,63.64,81,95,24.52
31,Uporovo,RU,2020-06-15 13:55:34,56.31,66.27,66.79,66,25,5.5
32,Atuona,PF,2020-06-15 13:47:18,-9.8,-139.03,79.88,73,80,11.48
33,Albany,US,2020-06-15 13:44:17,42.6,-73.97,64.0,57,1,2.21
34,Rikitea,PF,2020-06-15 13:47:11,-23.12,-134.97,75.79,86,51,12.91
35,Kapaa,US,2020-06-15 13:47:23,22.08,-159.32,77.0,73,40,11.41
36,Marzuq,YE,2020-06-15 13:55:34,14.4,46.47,95.18,10,100,4.94
37,Palmer,US,2020-06-15 13:45:36,42.16,-72.33,66.0,63,20,8.05
38,New Norfolk,AU,2020-06-15 13:47:15,-42.78,147.06,55.99,80,100,1.99
39,Jamestown,US,2020-06-15 13:47:25,42.1,-79.24,61.0,58,20,9.17
40,Chandbali,IN,2020-06-15 13:55:35,20.78,86.77,85.14,75,100,10.96
41,Adre,TD,2020-06-15 13:55:35,13.47,22.2,100.38,15,81,4.74
42,Bonavista,CA,2020-06-15 13:51:53,48.65,-53.11,44.01,79,100,1.01
43,Salgueiro,BR,2020-06-15 13:55:35,-8.07,-39.12,74.14,74,100,13.82
44,Port-Gentil,GA,2020-06-15 13:48:07,-0.72,8.78,80.6,78,40,13.87
45,Dikson,RU,2020-06-15 13:47:14,73.51,80.55,33.62,88,96,10.31
46,Yellowknife,CA,2020-06-15 13:55:36,62.46,-114.35,53.01,71,75,21.92
47,Zarechnyy,RU,2020-06-15 13:55:36,53.2,45.19,68.88,56,100,6.04
48,Santa Maria,BR,2020-06-15 13:55:36,-29.68,-53.81,48.2,87,75,8.05
49,Puerto Ayora,EC,2020-06-15 13:47:10,-0.74,-90.35,72.0,89,99,5.01
50,Souillac,MU,2020-06-15 13:48:00,-20.52,57.52,73.4,73,40,12.75
51,Buchanan,LR,2020-06-15 13:48:19,5.88,-10.05,86.0,74,75,8.05
52,Pangody,RU,2020-06-15 13:55:36,65.85,74.49,57.36,43,42,8.12
53,Bambous Virieux,MU,2020-06-15 13:47:41,-20.34,57.76,73.4,73,40,12.75
54,Bonthe,SL,2020-06-15 13:55:37,7.53,-12.51,83.57,73,100,9.44
55,Nikolskoye,RU,2020-06-15 13:47:11,59.7,30.79,80.6,44,5,8.95
56,Vanimo,PG,2020-06-15 13:55:37,-2.67,141.3,79.47,82,63,3.11
57,Roma,US,2020-06-15 13:54:04,43.21,-75.46,62.01,71,75,1.99
58,Ahuimanu,US,2020-06-15 13:48:10,21.44,-157.84,84.2,54,75,10.29
59,Tasiilaq,GL,2020-06-15 13:55:37,65.61,-37.64,41.0,75,75,11.41
60,Caravelas,BR,2020-06-15 13:55:37,-17.71,-39.25,80.11,64,44,13.44
61,Payo,ID,2020-06-15 13:55:38,-3.75,103.64,76.68,88,48,2.57
62,Katsuura,JP,2020-06-15 13:47:09,35.13,140.3,77.0,83,75,9.17
63,Mangochi,MW,2020-06-15 13:55:38,-14.48,35.26,75.85,41,0,4.52
64,Namibe,AO,2020-06-15 13:47:10,-15.2,12.15,89.6,38,0,5.82
65,Machinga,MW,2020-06-15 13:55:38,-15.17,35.3,71.67,44,55,5.97
66,Tiksi,RU,2020-06-15 13:47:27,71.69,128.87,51.76,57,100,8.37
67,Fairbanks,US,2020-06-15 13:46:21,64.84,-147.72,57.0,93,75,3.36
68,Dunedin,NZ,2020-06-15 13:55:38,-45.87,170.5,54.0,64,1,5.84
69,Faanui,PF,2020-06-15 13:47:20,-16.48,-151.75,80.15,79,71,14.09
70,Lavrentiya,RU,2020-06-15 13:47:35,65.58,-171.0,45.97,71,50,2.08
71,Garmsar,IR,2020-06-15 13:55:39,35.22,52.34,101.08,7,0,7.7
72,Tiarei,PF,2020-06-15 13:47:31,-17.53,-149.33,77.0,83,20,3.36
